STAT_ID,STAT_NTN,STAT_POP,STAT_CPT,STAT_LAN
VN,베트남 사회주의 공화국(Socialist Republic of Vietnam),104799174 (자료원: CIA report / 2023년 추정치),하노이(H&agrave; Nội),베트남어
US,미합중국(The United States of America),"335779482 (자료원: 미 인구조사국, 2023년 11월 기준 추정치)","워싱턴 D.C.(Washington, District of Columbia)",영어
CN,중화인민공화국(The People&rsquo;s Republic of China),"1411750000 (자료원: 중국 국가통계국, 2022년 말 기준)",베이징(北京; Beijing),한어(汉语; Chinese) 
JP,일본(Japan),"124477000 (자료원: 총무성, 2023년 5월 확정치 )",도쿄(Tokyo),일본어
DE,독일연방공화국(The Federal Republic of Germany),"84482267 (자료원: 독일 연방통계청, 2023. 6. 30. 기준)",베를린(Berlin),독일어
GB,영국(The United Kingdom of Great Britain and Northern Ireland),67026300 (자료원: 영국 통계청(ONS) / 2022년 12월 21일(&#39;21년 census 통계치)),런던(London),"영어(공용어), 웨일스어, 스코티시 게일릭, 아이리시 게일릭"
AU,호주(Commonwealth of Australia),"26473055 (자료원: 호주통계청, 2023.3 기준)",캔버라(Canberra),영어
CA,캐나다(Canada),"40509958 (자료원: 캐나다 통계청, 2023년 11월 기준)",오타와(Ottawa),"공용어(영어 58% 및 불어 21%), 기타(21%)"
IN,인도(The Republic of India),"1428628000 (자료원: IMF, 2023.11.14 기준)",뉴델리(New Delhi),"힌디어, 칸나다어, 타밀어, 텔루구어 등 22개 공용어"
IT,이탈리아 공화국(La Repubblica Italiana),"58870762 (자료원: 이탈리아 통계청(ISTAT), 2023.11. 기준)",로마(Roma),"이탈리아어(국경지역은 독일어, 프랑스어, 슬로베니아어 병용)"
BR,브라질 연방 공화국(The Federal Republic of Brazil),"203080756 (자료원: 브라질 지리통계원(IBGE), 2023.10.27 기준)","브라질리아(Brasilia, 인구 3,094,325명)",포르투갈어
